Longitude (x),Latitude (y),Station Name,Climate ID,Date/Time,Year,Month,Day,Data Quality,Max Temp (°C),Max Temp Flag,Min Temp (°C),Min Temp Flag,Mean Temp (°C),Mean Temp Flag,Heat Deg Days (°C),Heat Deg Days Flag,Cool Deg Days (°C),Cool Deg Days Flag,Total Rain (mm),Total Rain Flag,Total Snow (cm),Total Snow Flag,Total Precip (mm),Total Precip Flag,Snow on Grnd (cm),Snow on Grnd Flag,Dir of Max Gust (10s deg),Dir of Max Gust Flag,Spd of Max Gust (km/h),Spd of Max Gust Flag
-79.4,43.67,TORONTO CITY,6158355,2025/3/13,2025,3,13,,6.5,,-1.8,,2.3,,15.7,,0,,,,,,0,,,,,M,,M
-79.4,43.67,TORONTO CITY,6158355,2025/3/14,2025,3,14,,10.9,,1.4,,6.2,,11.8,,0,,,,,,0,,,,,M,,M
-79.4,43.67,TORONTO CITY,6158355,2025/3/15,2025,3,15,,15.1,,7.9,,11.5,,6.5,,0,,,,,,2.3,,,,,M,,M
-79.4,43.67,TORONTO CITY,6158355,2025/3/16,2025,3,16,,15.9,,1.9,,8.9,,9.1,,0,,,,,,9.4,,,,,M,,M
-79.4,43.67,TORONTO CITY,6158355,2025/3/17,2025,3,17,,5.5,,-2.1,,1.7,,16.3,,0,,,,,,0,,,,,M,,M
-79.4,43.67,TORONTO CITY,6158355,2025/3/18,2025,3,18,,12.8,,0.9,,6.9,,11.1,,0,,,,,,0,,,,,M,,M
-79.4,43.67,TORONTO CITY,6158355,2025/3/19,2025,3,19,,20.4,,6,,13.2,,4.8,,0,,,,,,0,,,,,M,,M
-79.4,43.67,TORONTO CITY,6158355,2025/3/20,2025,3,20,,14,,0.6,,7.3,,10.7,,0,,,,,,0.8,,,,,M,,M
-79.4,43.67,TORONTO CITY,6158355,2025/3/21,2025,3,21,,7.4,,-1,,3.2,,14.8,,0,,,,,,0,,,,,M,,M
-79.4,43.67,TORONTO CITY,6158355,2025/3/22,2025,3,22,,7.7,,-4.4,,1.7,,16.3,,0,,,,,,0.2,,,,,M,,M
-79.4,43.67,TORONTO CITY,6158355,2025/3/23,2025,3,23,,0.7,,-5.3,,-2.3,,20.3,,0,,,,,,3.4,,,,,M,,M
-79.4,43.67,TORONTO CITY,6158355,2025/3/24,2025,3,24,,6.7,,0.4,,3.6,,14.4,,0,,,,,,2.4,,1,,,M,,M
-79.4,43.67,TORONTO CITY,6158355,2025/3/25,2025,3,25,,4.9,,0.6,,2.7,,15.3,,0,,,,,,0,,,,,M,,M
-79.4,43.67,TORONTO CITY,6158355,2025/3/26,2025,3,26,,4.7,,-1.9,,1.4,,16.6,,0,,,,,,0,,,,,M,,M
-79.4,43.67,TORONTO CITY,6158355,2025/3/27,2025,3,27,,10.3,,-2.9,,3.7,,14.3,,0,,,,,,0,,,,,M,,M
-79.4,43.67,TORONTO CITY,6158355,2025/3/28,2025,3,28,,3.9,,1.4,,2.6,,15.4,,0,,,,,,2.2,,,,,M,,M
-79.4,43.67,TORONTO CITY,6158355,2025/3/29,2025,3,29,,2.3,,-0.1,,1.1,,16.9,,0,,,,,,9.1,,,,,M,,M
-79.4,43.67,TORONTO CITY,6158355,2025/3/30,2025,3,30,,6.6,,0.3,,3.4,,14.6,,0,,,,,,5.2,,,,,M,,M
-79.4,43.67,TORONTO CITY,6158355,2025/3/31,2025,3,31,,10.9,,1.3,,6.1,,11.9,,0,,,,,,0.1,,,,,M,,M
-79.4,43.67,TORONTO CITY,6158355,2025/4/1,2025,4,1,,4.5,,-0.7,,1.9,,16.1,,0,,,,,,0.3,,,,,M,,M
-79.4,43.67,TORONTO CITY,6158355,2025/4/2,2025,4,2,,5.1,,-1.2,,2,,16,,0,,,,,,29.3,,,,,M,,M
-79.4,43.67,TORONTO CITY,6158355,2025/4/3,2025,4,3,,21.2,,4.9,,13.1,,4.9,,0,,,,,,11.5,,,,,M,,M
-79.4,43.67,TORONTO CITY,6158355,2025/4/4,2025,4,4,,9.4,,3.2,,6.3,,11.7,,0,,,,,,0,,,,,M,,M
-79.4,43.67,TORONTO CITY,6158355,2025/4/5,2025,4,5,,10.5,,3.4,,7,,11,,0,,,,,,2.1,,,,,M,,M
-79.4,43.67,TORONTO CITY,6158355,2025/4/6,2025,4,6,,7.5,,1.6,,4.5,,13.5,,0,,,,,,0,,,,,M,,M
-79.4,43.67,TORONTO CITY,6158355,2025/4/7,2025,4,7,,7.2,,-3.3,,2,,16,,0,,,,,,0,,,,,M,,M
-79.4,43.67,TORONTO CITY,6158355,2025/4/8,2025,4,8,,1.4,,-5.4,,-2,,20,,0,,,,,,0.9,,,,,M,,M
-79.4,43.67,TORONTO CITY,6158355,2025/4/9,2025,4,9,,4.6,,-3.9,,0.4,,17.6,,0,,,,,,0,,,,,M,,M
-79.4,43.67,TORONTO CITY,6158355,2025/4/10,2025,4,10,,5.2,,1.5,,3.3,,14.7,,0,,,,,,3.1,,,,,M,,M
-79.4,43.67,TORONTO CITY,6158355,2025/4/11,2025,4,11,,5.2,,1.8,,3.5,,14.5,,0,,,,,,2.1,,,,,M,,M
-79.4,43.67,TORONTO CITY,6158355,2025/4/12,2025,4,12,,10,,3.9,,6.9,,11.1,,0,,,,,,0,,,,,M,,M
-79.4,43.67,TORONTO CITY,6158355,2025/4/13,2025,4,13,,14,,3.6,,8.8,,9.2,,0,,,,,,0,,,,,M,,M
-79.4,43.67,TORONTO CITY,6158355,2025/4/14,2025,4,14,,15.3,,7.4,,11.4,,6.6,,0,,,,,,0.2,,,,,M,,M
-79.4,43.67,TORONTO CITY,6158355,2025/4/15,2025,4,15,,11.6,,2.8,,7.2,,10.8,,0,,,,,,0,,,,,M,,M
-79.4,43.67,TORONTO CITY,6158355,2025/4/16,2025,4,16,,,M,,M,,M,,M,,M,,,,,,M,,,,M,,M
-79.4,43.67,TORONTO CITY,6158355,2025/4/17,2025,4,17,,12.2,,0,,6.1,,11.9,,0,,,,,,0,,,,,M,,M
-79.4,43.67,TORONTO CITY,6158355,2025/4/18,2025,4,18,,19.9,,6.8,,13.4,,4.6,,0,,,,,,1.1,,,,,M,,M
-79.4,43.67,TORONTO CITY,6158355,2025/4/19,2025,4,19,,21.7,,5.7,,13.7,,4.3,,0,,,,,,0,,,,,M,,M
-79.4,43.67,TORONTO CITY,6158355,2025/4/20,2025,4,20,,9.3,,3.2,,6.2,,11.8,,0,,,,,,0,,,,,M,,M
-79.4,43.67,TORONTO CITY,6158355,2025/4/21,2025,4,21,,11.9,,5,,8.4,,9.6,,0,,,,,,1.9,,,,,M,,M
-79.4,43.67,TORONTO CITY,6158355,2025/4/22,2025,4,22,,15.3,,8.1,,11.7,,6.3,,0,,,,,,0,,,,,M,,M
-79.4,43.67,TORONTO CITY,6158355,2025/4/23,2025,4,23,,15.4,,6.9,,11.1,,6.9,,0,,,,,,0,,,,,M,,M
-79.4,43.67,TORONTO CITY,6158355,2025/4/24,2025,4,24,,21.3,,9.6,,15.4,,2.6,,0,,,,,,0,,,,,M,,M
-79.4,43.67,TORONTO CITY,6158355,2025/4/25,2025,4,25,,15.3,,11.5,,13.4,,4.6,,0,,,,,,0,,,,,M,,M
-79.4,43.67,TORONTO CITY,6158355,2025/4/26,2025,4,26,,12.6,,6.3,,9.4,,8.6,,0,,,,,,0.4,,,,,M,,M
-79.4,43.67,TORONTO CITY,6158355,2025/4/27,2025,4,27,,19.2,,6.4,,12.8,,5.2,,0,,,,,,0,,,,,M,,M
-79.4,43.67,TORONTO CITY,6158355,2025/4/28,2025,4,28,,20.4,,7.2,,13.8,,4.2,,0,,,,,,0,,,,,M,,M
-79.4,43.67,TORONTO CITY,6158355,2025/4/29,2025,4,29,,25.8,,5.6,,15.7,,2.3,,0,,,,,,1.9,,,,,M,,M
-79.4,43.67,TORONTO CITY,6158355,2025/4/30,2025,4,30,,11.9,,2.5,,7.2,,10.8,,0,,,,,,0,,,,,M,,M
-79.4,43.67,TORONTO CITY,6158355,2025/5/1,2025,5,1,,10.4,,6.4,,8.4,,9.6,,0,,,,,,11.7,,,,,M,,M
-79.4,43.67,TORONTO CITY,6158355,2025/5/2,2025,5,2,,21.1,,8.6,,14.9,,3.1,,0,,,,,,0,,,,,M,,M
-79.4,43.67,TORONTO CITY,6158355,2025/5/3,2025,5,3,,10.8,,7.4,,9.1,,8.9,,0,,,,,,0.1,,,,,M,,M
-79.4,43.67,TORONTO CITY,6158355,2025/5/4,2025,5,4,,15.5,,7.8,,11.6,,6.4,,0,,,,,,0,,,,,M,,M
-79.4,43.67,TORONTO CITY,6158355,2025/5/5,2025,5,5,,18.1,,11.6,,14.8,,3.2,,0,,,,,,2,,,,,M,,M
-79.4,43.67,TORONTO CITY,6158355,2025/5/6,2025,5,6,,20,,8.8,,14.4,,3.6,,0,,,,,,0.5,,,,,M,,M
-79.4,43.67,TORONTO CITY,6158355,2025/5/7,2025,5,7,,,M,,M,,M,,M,,M,,,,,,M,,,,M,,M
-79.4,43.67,TORONTO CITY,6158355,2025/5/8,2025,5,8,,,M,,M,,M,,M,,M,,,,,,M,,,,M,,M
-79.4,43.67,TORONTO CITY,6158355,2025/5/9,2025,5,9,,14.6,,5.3,,10,,8,,0,,,,,,0,,,,,M,,M
-79.4,43.67,TORONTO CITY,6158355,2025/5/10,2025,5,10,,21.3,,6.5,,13.9,,4.1,,0,,,,,,0,,,,,M,,M
-79.4,43.67,TORONTO CITY,6158355,2025/5/11,2025,5,11,,13.7,,7.2,,10.4,,7.6,,0,,,,,,0,,,,,M,,M
-79.4,43.67,TORONTO CITY,6158355,2025/5/12,2025,5,12,,25.1,,8.1,,16.6,,1.4,,0,,,,,,0,,,,,M,,M
