Longitude (x),Latitude (y),Station Name,Climate ID,Date/Time,Year,Month,Day,Data Quality,Max Temp (°C),Max Temp Flag,Min Temp (°C),Min Temp Flag,Mean Temp (°C),Mean Temp Flag,Heat Deg Days (°C),Heat Deg Days Flag,Cool Deg Days (°C),Cool Deg Days Flag,Total Rain (mm),Total Rain Flag,Total Snow (cm),Total Snow Flag,Total Precip (mm),Total Precip Flag,Snow on Grnd (cm),Snow on Grnd Flag,Dir of Max Gust (10s deg),Dir of Max Gust Flag,Spd of Max Gust (km/h),Spd of Max Gust Flag
-79.4,43.67,TORONTO CITY,6158355,2023/3/1,2023,3,1,,3.2,,-0.1,,1.6,,16.4,,0,,,,,,0,,8,,,M,,M
-79.4,43.67,TORONTO CITY,6158355,2023/3/2,2023,3,2,,4.9,,-0.5,,2.2,,15.8,,0,,,,,,0,,8,,,M,,M
-79.4,43.67,TORONTO CITY,6158355,2023/3/3,2023,3,3,,1.1,,-1.6,,-0.3,,18.3,,0,,,,,,21.7,,6,,,M,,M
-79.4,43.67,TORONTO CITY,6158355,2023/3/4,2023,3,4,,5.8,,-0.9,,2.5,,15.5,,0,,,,,,11.1,,21,,,M,,M
-79.4,43.67,TORONTO CITY,6158355,2023/3/5,2023,3,5,,6.8,,-0.1,,3.3,,14.7,,0,,,,,,0.4,,15,,,M,,M
-79.4,43.67,TORONTO CITY,6158355,2023/3/6,2023,3,6,,3.4,,-0.8,,1.3,,16.7,,0,,,,,,0,,12,,,M,,M
-79.4,43.67,TORONTO CITY,6158355,2023/3/7,2023,3,7,,1.9,,-1.9,,0,,18,,0,,,,,,0,,11,,,M,,M
-79.4,43.67,TORONTO CITY,6158355,2023/3/8,2023,3,8,,3,,-2.3,,0.3,,17.7,,0,,,,,,0,,10,,,M,,M
-79.4,43.67,TORONTO CITY,6158355,2023/3/9,2023,3,9,,4.6,,-2.5,,1.1,,16.9,,0,,,,,,0,,9,,,M,,M
-79.4,43.67,TORONTO CITY,6158355,2023/3/10,2023,3,10,,0.7,,-2.3,,-0.8,,18.8,,0,,,,,,9,,8,,,M,,M
-79.4,43.67,TORONTO CITY,6158355,2023/3/11,2023,3,11,,0.6,,-3.5,,-1.5,,19.5,,0,,,,,,0.3,,17,,,M,,M
-79.4,43.67,TORONTO CITY,6158355,2023/3/12,2023,3,12,,0.7,,-3.4,,-1.3,,19.3,,0,,,,,,2.5,,14,,,M,,M
-79.4,43.67,TORONTO CITY,6158355,2023/3/13,2023,3,13,,2,,-2.3,,-0.1,,18.1,,0,,,,,,0.5,,18,,,M,,M
-79.4,43.67,TORONTO CITY,6158355,2023/3/14,2023,3,14,,-1.3,,-4.5,,-2.9,,20.9,,0,,,,,,0,,14,,,M,,M
-79.4,43.67,TORONTO CITY,6158355,2023/3/15,2023,3,15,,6,,-4.6,,0.7,,17.3,,0,,,,,,0,,13,,,M,,M
-79.4,43.67,TORONTO CITY,6158355,2023/3/16,2023,3,16,,10,,1.2,,5.6,,12.4,,0,,,,,,1.8,,9,,,M,,M
-79.4,43.67,TORONTO CITY,6158355,2023/3/17,2023,3,17,,7.6,,1.2,,4.4,,13.6,,0,,,,,,6.5,,5,,,M,,M
-79.4,43.67,TORONTO CITY,6158355,2023/3/18,2023,3,18,,2.2,,-5.9,,-1.9,,19.9,,0,,,,,,0.4,,1,,,M,,M
-79.4,43.67,TORONTO CITY,6158355,2023/3/19,2023,3,19,,1.2,,-6.7,,-2.8,,20.8,,0,,,,,,0,,0,,,M,,M
-79.4,43.67,TORONTO CITY,6158355,2023/3/20,2023,3,20,,7.2,,-1.5,,2.9,,15.1,,0,,,,,,0,,,,,M,,M
-79.4,43.67,TORONTO CITY,6158355,2023/3/21,2023,3,21,,9.8,,4.2,,7,,11,,0,,,,,,0,,,,,M,,M
-79.4,43.67,TORONTO CITY,6158355,2023/3/22,2023,3,22,,7.9,,1.8,,4.8,,13.2,,0,,,,,,0,,,,,M,,M
-79.4,43.67,TORONTO CITY,6158355,2023/3/23,2023,3,23,,8.9,,0.3,,4.6,,13.4,,0,,,,,,9.5,,,,,M,,M
-79.4,43.67,TORONTO CITY,6158355,2023/3/24,2023,3,24,,5.9,,0.1,,3,,15,,0,,,,,,0,,,,,M,,M
-79.4,43.67,TORONTO CITY,6158355,2023/3/25,2023,3,25,,9.6,,1.8,,5.7,,12.3,,0,,,,,,23.8,,,,,M,,M
-79.4,43.67,TORONTO CITY,6158355,2023/3/26,2023,3,26,,10.8,,2.8,,6.8,,11.2,,0,,,,,,0,,,,,M,,M
-79.4,43.67,TORONTO CITY,6158355,2023/3/27,2023,3,27,,6.4,,2.8,,4.6,,13.4,,0,,,,,,1,,,,,M,,M
-79.4,43.67,TORONTO CITY,6158355,2023/3/28,2023,3,28,,7.2,,2.1,,4.7,,13.3,,0,,,,,,0,,0,,,M,,M
-79.4,43.67,TORONTO CITY,6158355,2023/3/29,2023,3,29,,9.6,,-3.5,,3,,15,,0,,,,,,2.1,,0,,,M,,M
